Agency,Fund,FY15 Mayors Proposed Budget
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42205.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42400
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42540
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42600
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42607
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42758.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42808.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42808.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42808.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42808.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42828
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42840.57
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42869
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,42926.27
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,42928
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43134
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43274.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43335
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43386.47
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43386.47
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,43785.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,43942
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44362
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44404.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.45
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,44487.46
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,44559
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,44572
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45300
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45319
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,45348
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,45375
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45500
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,45943.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,46000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,46621.97
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,46738
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,46835.62
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47236.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,47313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,47313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,47313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47350
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47371.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47451
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47554.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,47806.55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47839
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47884
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,47929
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,47940.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,48000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,48100
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,48900.32
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,48936.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,48936.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49266
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49348
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49467
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,49859
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49893.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49954.83
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49954.83
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49954.83
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49954.83
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,49954.84
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50240
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50556
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50562
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50741.34
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,50741.34
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50786.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50786.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50786.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50786.25
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50796.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50796.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,50796.3
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,51000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,51059
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,51544
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,51553.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,51643.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52105.12
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,52377
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52400
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.51
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52464.52
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52598
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52800
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,52938
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,52968
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,52996.01
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53300
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53384.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53384.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53384.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53384.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53384.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,53652.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,54230.72
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,54300
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,54308.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,54308.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,54308.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FEDERAL RESOURCES,54400
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55000
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,INTRA-DISTRICT FUNDS,55208
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55245
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55374
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.36
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GENERAL FUND,55505.37
